name,games,win_percent,score_avg,goal_avg,assist_avg,save_avg,shot_avg,shot_percent,goal_participation_percent,overall_rating_avg
Dark,55,32.73%,324.11,0.69,0.44,1.27,2.35,29.46%,63.92%,0.915

EyeIgnite,187,43.85%,324.32,0.66,0.41,1.58,2.73,24.07%,63.58%,0.915

Snowy,409,52.81%,336.86,0.64,0.50,1.47,2.30,27.95%,54.69%,0.915

ElOmarMaton,90,48.89%,360.92,0.57,0.50,1.63,2.56,22.17%,60.76%,0.913

money,146,45.21%,354.37,0.59,0.51,1.41,2.41,24.43%,61.22%,0.913

Cheery,68,39.71%,331.15,0.78,0.41,1.09,2.41,32.32%,61.83%,0.913

Lethamyr,234,47.01%,294.53,0.63,0.47,1.62,2.71,23.19%,60.28%,0.912

Barist,107,49.53%,351.86,0.63,0.42,1.54,2.92,21.47%,49.34%,0.912

arju,308,54.87%,360.25,0.57,0.51,1.55,2.64,21.55%,56.25%,0.912

womped,72,41.67%,385.54,0.60,0.36,1.93,2.72,21.94%,57.98%,0.911

HAZA,172,40.70%,363.25,0.59,0.41,1.87,2.58,22.75%,55.13%,0.911

dead.,262,49.62%,347.21,0.63,0.44,1.49,2.59,24.15%,57.56%,0.911

Noxes,83,43.37%,348.96,0.53,0.47,1.76,2.47,21.46%,56.85%,0.910

bluey.,487,50.31%,340.74,0.52,0.56,1.69,2.51,20.72%,56.93%,0.910

waiwai,61,50.82%,341.33,0.70,0.36,1.43,2.31,30.50%,64.36%,0.909

.tristn,234,47.44%,359.37,0.58,0.46,1.64,2.86,20.33%,56.51%,0.909

Joel,180,37.78%,348.21,0.58,0.54,1.48,2.32,25.18%,62.93%,0.909

Nitrous,78,41.03%,337.50,0.64,0.58,1.18,2.77,23.15%,62.91%,0.909

Rizex45,276,47.46%,367.51,0.54,0.48,1.76,2.64,20.27%,55.67%,0.909

ripoopi,73,61.64%,325.11,0.64,0.60,1.32,2.21,29.19%,52.60%,0.908

SOMA,56,46.43%,251.61,0.70,0.41,1.25,2.54,27.46%,58.49%,0.908

EviIL42,53,50.94%,328.40,0.51,0.60,1.40,2.30,22.13%,55.14%,0.908

Gengar,87,45.98%,362.20,0.54,0.49,1.82,2.51,21.56%,52.94%,0.907

ViolentPanda,835,57.13%,312.33,0.56,0.59,1.46,2.58,21.52%,57.56%,0.907

ayjacks,390,45.64%,363.69,0.53,0.46,1.82,2.49,21.07%,57.81%,0.907

UmBroken,381,46.19%,354.87,0.55,0.49,1.75,2.25,24.21%,52.89%,0.907

Jacob,514,48.25%,279.65,0.59,0.60,1.41,2.22,26.64%,59.67%,0.907

primethunder,134,44.03%,321.10,0.62,0.53,1.22,2.96,20.96%,58.56%,0.906

beeyu,120,44.17%,354.68,0.64,0.42,1.43,2.80,22.92%,54.47%,0.906

kirn,110,50.00%,352.47,0.55,0.55,1.54,2.40,22.73%,53.33%,0.905

AxB,217,51.15%,352.97,0.61,0.50,1.48,2.50,24.35%,55.79%,0.905

hec,132,39.39%,339.82,0.58,0.51,1.45,2.44,23.60%,60.85%,0.905

Chrome,199,43.72%,228.87,0.64,0.55,1.42,2.43,26.24%,59.85%,0.905

mectos,287,43.21%,342.54,0.54,0.54,1.56,2.68,20.13%,59.27%,0.905

Brabes,109,36.70%,344.39,0.60,0.54,1.43,2.35,25.39%,52.77%,0.904

Lachinio,165,52.12%,226.94,0.75,0.53,1.28,2.50,29.78%,52.76%,0.903

Daisu,172,33.72%,344.68,0.60,0.45,1.58,2.61,23.16%,61.90%,0.903

Insolences,218,47.25%,243.56,0.65,0.54,1.50,2.24,29.04%,57.40%,0.903

Kuma,159,48.43%,334.61,0.53,0.64,1.43,2.10,25.15%,54.57%,0.902

Gyro,548,52.01%,362.22,0.54,0.49,1.74,2.43,22.21%,56.67%,0.902

Jackay,64,37.50%,325.84,0.53,0.53,1.52,2.22,23.94%,64.15%,0.902

Scout,134,43.28%,326.22,0.67,0.43,1.33,2.66,25.28%,56.54%,0.901

Smash,90,40.00%,324.83,0.66,0.49,1.18,2.76,23.79%,60.59%,0.900

finn,330,49.70%,338.87,0.62,0.52,1.33,2.67,23.41%,54.70%,0.899

gReazy,486,54.32%,292.53,0.60,0.56,1.45,2.70,22.24%,54.65%,0.899

astro,186,42.47%,361.96,0.58,0.41,1.75,2.40,23.99%,57.14%,0.899

Risen,76,53.95%,336.88,0.54,0.58,1.54,2.26,23.84%,57.43%,0.898

oVaMPiERz,73,50.68%,345.99,0.59,0.52,1.59,2.44,24.16%,50.94%,0.898

mzxy,63,42.86%,339.78,0.67,0.49,1.25,2.51,26.58%,64.60%,0.898

Homie,274,41.61%,349.02,0.57,0.46,1.69,2.28,25.08%,57.17%,0.897

CorruptedG,313,41.85%,270.45,0.65,0.48,1.47,2.33,27.85%,62.77%,0.897

change,257,43.19%,331.53,0.62,0.44,1.46,2.35,26.28%,57.42%,0.897

Luke,134,48.51%,326.84,0.61,0.44,1.37,2.57,23.84%,56.63%,0.895

Daze,83,40.96%,247.77,0.59,0.61,1.36,2.01,29.34%,62.11%,0.894

Dumbo,228,49.56%,270.41,0.68,0.56,1.21,2.30,29.58%,56.51%,0.894

Panic,59,33.90%,350.90,0.56,0.47,1.71,2.20,25.38%,62.24%,0.894

Ferra,691,52.39%,299.70,0.65,0.48,1.26,2.79,23.42%,59.21%,0.893

Jaffa,90,50.00%,349.79,0.71,0.37,1.43,2.54,27.95%,53.30%,0.893

radoko.,249,49.00%,354.05,0.52,0.48,1.75,2.42,21.59%,53.78%,0.893

Astroh,145,42.76%,348.89,0.56,0.50,1.57,2.24,24.92%,61.20%,0.893

Genocop,106,40.57%,262.53,0.61,0.49,1.41,2.57,23.90%,53.42%,0.891

Gnagflow06,68,45.59%,369.79,0.57,0.34,1.82,2.57,22.29%,52.99%,0.891

Ahduhm,168,41.07%,370.57,0.46,0.50,1.86,2.10,22.16%,57.65%,0.890

Snaski,264,46.59%,255.83,0.61,0.50,1.62,2.44,25.12%,55.26%,0.889

Spcterrr,91,32.97%,329.46,0.59,0.51,1.36,2.53,23.48%,58.14%,0.889

Stokelyy,161,40.37%,349.63,0.55,0.43,1.61,2.66,20.79%,60.54%,0.889

Sikii,259,48.65%,241.16,0.56,0.56,1.59,2.44,23.10%,56.07%,0.888

Mognus,410,46.34%,317.17,0.50,0.51,1.72,2.46,20.50%,62.05%,0.888

Metsanauris,776,50.52%,317.69,0.56,0.52,1.44,2.43,23.10%,57.25%,0.888

baait,199,42.21%,332.10,0.61,0.41,1.50,2.40,25.31%,57.71%,0.888

AKKINN,61,39.34%,342.23,0.67,0.41,1.34,2.52,26.62%,55.46%,0.887

Karma,169,43.20%,337.19,0.54,0.46,1.51,2.39,22.52%,59.93%,0.887

AlphaKep,320,48.13%,341.39,0.60,0.43,1.52,2.45,24.52%,54.91%,0.887

Quinn Lobdell,81,46.91%,202.22,0.70,0.51,1.02,2.47,28.50%,61.25%,0.887

Aza,201,39.30%,337.39,0.61,0.47,1.32,2.35,26.00%,60.45%,0.886

Sizz,214,41.12%,251.00,0.57,0.56,1.56,2.17,26.29%,58.50%,0.886

bmnd5,241,44.40%,364.83,0.52,0.51,1.71,2.26,23.16%,53.88%,0.885

Lexim,480,42.08%,339.54,0.56,0.51,1.51,2.17,26.06%,57.49%,0.884

Pwndx,95,41.05%,236.95,0.64,0.47,1.37,2.40,26.75%,54.64%,0.883

Yukeo,608,51.64%,342.99,0.55,0.45,1.65,2.57,21.38%,56.44%,0.883

LiFox,77,37.66%,389.25,0.48,0.40,2.06,2.88,16.67%,50.37%,0.883

tokyo,55,45.45%,336.09,0.47,0.62,1.71,2.13,22.22%,56.60%,0.882

Jake,153,66.67%,237.45,0.61,0.67,1.24,2.58,23.60%,54.47%,0.881

Polar,222,48.65%,344.38,0.50,0.52,1.55,2.49,19.89%,56.96%,0.881

echo.,75,48.00%,291.47,0.59,0.68,1.05,2.11,27.85%,49.22%,0.880

Deevo,826,52.18%,321.04,0.55,0.48,1.62,2.42,22.79%,52.85%,0.879

lucas06,208,42.31%,347.20,0.54,0.45,1.63,2.29,23.48%,55.38%,0.879

JWismont,198,39.39%,337.95,0.56,0.44,1.44,2.73,20.56%,62.26%,0.879

res,80,56.25%,304.10,0.74,0.47,0.86,2.35,31.38%,49.74%,0.879

Scrub,253,49.01%,335.49,0.62,0.40,1.33,2.64,23.35%,55.41%,0.878

Decxp,73,36.99%,330.52,0.64,0.34,1.45,2.14,30.13%,55.81%,0.878

Brisky,82,47.56%,349.33,0.50,0.52,1.74,2.05,24.40%,51.85%,0.877

Kisai,70,47.14%,368.23,0.57,0.36,1.77,2.20,25.97%,61.32%,0.876

JJPrezus,61,34.43%,356.16,0.57,0.41,1.44,2.66,21.60%,65.93%,0.876

Maadzz,52,23.08%,357.92,0.58,0.38,1.62,2.77,20.83%,59.52%,0.875

Tequilaz,58,41.38%,200.34,0.69,0.38,1.43,1.72,40.00%,54.39%,0.874

pryyme,248,47.18%,356.71,0.46,0.51,1.77,2.13,21.44%,55.30%,0.874

Dave,63,33.33%,326.92,0.59,0.48,1.32,2.16,27.21%,65.05%,0.873

ellusive,103,44.66%,234.44,0.59,0.50,1.56,2.13,27.85%,60.11%,0.872

Shorez,107,43.93%,337.55,0.55,0.41,1.62,2.15,25.65%,54.79%,0.872

Cynical,124,44.35%,336.26,0.50,0.56,1.60,2.43,20.60%,51.56%,0.872

Nachitow,129,42.64%,352.03,0.51,0.49,1.59,2.60,19.64%,57.08%,0.870

eli,184,34.24%,338.09,0.60,0.37,1.53,2.39,25.23%,57.56%,0.870

temma,65,47.69%,355.62,0.51,0.46,1.68,2.06,24.63%,62.38%,0.870

Ness,87,36.78%,338.36,0.53,0.41,1.59,2.37,22.33%,60.29%,0.870

Sweaty_Clarence,57,43.86%,347.51,0.61,0.40,1.65,2.12,28.93%,51.33%,0.869

Pirates,83,42.17%,348.67,0.48,0.47,1.70,2.31,20.83%,51.63%,0.868

Hato,66,30.30%,252.94,0.56,0.48,1.65,2.17,25.87%,57.98%,0.868

yeatzy,209,48.80%,339.89,0.49,0.50,1.72,2.21,22.29%,49.40%,0.868

Azmo,113,37.17%,329.03,0.61,0.38,1.43,2.65,23.08%,58.03%,0.867

Dogu,102,45.10%,223.87,0.64,0.45,1.66,2.36,26.97%,56.35%,0.867

al0t,367,44.41%,258.70,0.62,0.46,1.28,2.54,24.49%,60.83%,0.867

zett,98,32.65%,310.29,0.62,0.41,1.22,2.72,22.85%,61.96%,0.866

davinsano,471,41.61%,340.59,0.48,0.52,1.58,2.16,22.18%,55.46%,0.866

zayn,80,50.00%,312.07,0.65,0.50,1.13,2.27,28.57%,51.40%,0.865

Jessie,98,40.82%,216.79,0.55,0.59,1.37,2.17,25.35%,57.73%,0.865

Dadooh,61,39.34%,222.30,0.59,0.49,1.34,2.48,23.84%,56.41%,0.865

Chr1s,122,45.08%,333.09,0.57,0.41,1.59,2.42,23.39%,54.84%,0.865

mel kin,113,45.13%,345.29,0.57,0.38,1.59,2.61,21.69%,55.15%,0.863

Alex161,106,37.74%,316.28,0.56,0.44,1.46,2.49,22.35%,59.89%,0.863

Scream,55,34.55%,326.98,0.44,0.55,1.38,2.58,16.90%,63.53%,0.860

Demo,61,39.34%,375.92,0.48,0.39,2.03,2.52,18.83%,55.21%,0.859

MummiSnow,63,42.86%,251.27,0.49,0.62,1.30,2.32,21.23%,61.95%,0.859

Roblah,84,39.29%,324.51,0.65,0.38,1.49,2.56,25.58%,57.62%,0.858

Nava,100,35.00%,321.49,0.44,0.63,1.45,2.10,20.95%,57.84%,0.858

Gian,182,50.55%,343.50,0.64,0.34,1.43,2.49,25.83%,53.13%,0.858

Cyrexal,155,47.74%,343.90,0.51,0.43,1.78,2.02,25.24%,50.52%,0.857

jauum,67,37.31%,345.30,0.57,0.43,1.42,2.31,24.52%,59.82%,0.855

Falss,117,44.44%,326.65,0.50,0.43,1.53,2.05,24.17%,51.67%,0.855

Rizzo,675,56.44%,282.00,0.55,0.53,1.39,2.44,22.67%,49.83%,0.854

lackstar.,73,53.42%,325.27,0.60,0.45,1.32,2.32,26.04%,55.00%,0.854

Kia,138,44.20%,259.46,0.58,0.54,1.32,2.38,24.39%,58.49%,0.854

Zensuz,64,42.19%,233.44,0.55,0.55,1.58,2.20,24.82%,56.00%,0.854

Kevin07,81,38.27%,333.52,0.64,0.32,1.38,2.30,27.96%,50.65%,0.854

fruity,411,49.64%,326.56,0.50,0.53,1.45,2.35,21.24%,54.37%,0.853

Pulga,108,27.78%,321.62,0.65,0.38,1.42,2.51,25.83%,56.06%,0.852

Tigreee,511,45.21%,334.54,0.52,0.43,1.61,2.39,21.60%,54.00%,0.852

Sadjunior,225,49.33%,220.91,0.60,0.55,1.30,2.42,24.77%,54.99%,0.850

SubHallz,260,41.54%,326.87,0.52,0.42,1.59,2.16,23.84%,55.71%,0.850

Allushin,675,51.56%,326.25,0.53,0.49,1.51,2.20,24.11%,53.84%,0.849

Remoter,82,47.56%,328.46,0.59,0.37,1.54,2.01,29.09%,53.79%,0.847

SnarfSnarf,102,47.06%,249.56,0.52,0.64,1.14,2.55,20.38%,59.30%,0.845

RuBiiX,83,40.96%,336.47,0.46,0.49,1.61,2.13,21.47%,57.25%,0.844

Garenn,74,37.84%,324.27,0.51,0.53,1.34,2.39,21.47%,58.33%,0.842

pagsi,75,42.67%,324.49,0.60,0.45,1.40,2.53,23.68%,49.38%,0.841

ZhearX,98,32.65%,310.65,0.55,0.47,1.29,2.61,21.09%,61.35%,0.841

PwnFlakes,62,43.55%,304.13,0.68,0.37,1.00,2.27,29.79%,50.39%,0.841

cyrix,126,45.24%,235.28,0.64,0.44,1.30,2.30,27.93%,53.97%,0.840

Ninja23509,181,37.02%,329.07,0.52,0.45,1.62,2.29,22.89%,54.97%,0.839

Timi,139,43.17%,228.67,0.58,0.49,1.29,2.43,23.96%,56.44%,0.838

Klassux,370,47.30%,250.95,0.58,0.49,1.34,2.53,23.08%,57.87%,0.838

Godsmilla,293,46.42%,331.37,0.51,0.45,1.49,2.64,19.40%,53.31%,0.838

DisLike,182,39.01%,333.54,0.51,0.41,1.63,2.22,22.77%,55.67%,0.838

Trex,52,23.08%,339.81,0.50,0.37,1.75,2.44,20.47%,53.57%,0.837

totothdt,73,38.36%,344.22,0.48,0.49,1.40,2.81,17.07%,58.68%,0.836

twistt,139,38.85%,345.75,0.46,0.40,1.95,2.15,21.40%,53.81%,0.836

Jkow,52,26.92%,335.60,0.56,0.44,1.37,2.46,22.66%,57.78%,0.835

Skyline,118,43.22%,255.97,0.57,0.45,1.56,2.52,22.56%,55.81%,0.835

airmac,57,36.84%,336.04,0.54,0.46,1.30,2.32,23.48%,58.76%,0.834

Moses,160,50.63%,216.91,0.53,0.53,1.53,2.17,24.21%,48.98%,0.834

Montyconnor,111,49.55%,226.62,0.50,0.63,1.29,2.23,22.27%,53.88%,0.831

OLPiX,84,61.90%,305.29,0.46,0.64,0.99,2.62,17.73%,44.93%,0.829

mappi,51,41.18%,289.63,0.57,0.55,0.94,2.31,24.58%,51.35%,0.828

Kryptos,179,48.04%,320.71,0.46,0.50,1.36,2.68,17.12%,53.75%,0.827

Addzey,106,38.68%,244.03,0.59,0.53,1.02,2.32,25.61%,57.77%,0.826

Monster442,57,35.09%,336.72,0.47,0.46,1.53,2.30,20.61%,53.54%,0.826

miztik,330,50.61%,262.02,0.54,0.53,1.42,2.41,22.39%,53.64%,0.826

0ver Zer0,64,53.13%,225.55,0.59,0.64,1.13,2.66,22.35%,51.30%,0.826

Satthew,200,45.00%,301.56,0.53,0.49,1.19,2.29,22.98%,57.18%,0.825

Derk,73,54.79%,284.18,0.55,0.49,1.19,2.08,26.32%,45.51%,0.825

Zukoe,163,42.94%,335.48,0.48,0.43,1.56,2.01,24.16%,53.41%,0.824

GaTox,76,42.11%,319.72,0.61,0.26,1.46,2.51,24.08%,49.25%,0.820

TyNotTyler,191,35.60%,298.21,0.50,0.41,1.55,2.53,19.63%,52.10%,0.816

Gonk,151,36.42%,312.78,0.44,0.54,1.33,2.17,20.12%,56.54%,0.814

Caleb,64,37.50%,309.31,0.50,0.39,1.27,2.33,21.48%,53.77%,0.813

Sebadam,139,41.73%,295.73,0.50,0.46,1.42,1.99,25.36%,53.82%,0.812

Roll Dizz,401,48.88%,318.20,0.54,0.37,1.39,2.27,23.63%,54.17%,0.812

Beastaboniam,345,50.14%,326.28,0.46,0.43,1.57,2.19,21.14%,50.91%,0.810

Zanejackey,270,47.41%,227.78,0.55,0.51,1.23,2.17,25.47%,55.75%,0.809

Kaizen,54,48.15%,324.17,0.46,0.44,1.59,2.31,20.00%,47.12%,0.809

Splashy,98,32.65%,327.13,0.46,0.43,1.74,2.31,19.91%,52.10%,0.809

Leviathan,111,47.75%,320.95,0.53,0.37,1.24,2.43,21.85%,51.28%,0.808

Lemonpuppy,92,36.96%,289.80,0.50,0.37,1.39,2.12,23.59%,55.94%,0.806

Pedrinho,277,40.07%,317.34,0.48,0.41,1.45,2.31,20.78%,55.63%,0.805

KyRo,96,38.54%,320.54,0.47,0.41,1.43,2.22,21.13%,52.50%,0.803

Rixy,59,40.68%,320.29,0.42,0.49,1.58,1.85,22.94%,46.15%,0.801

Rowen,56,55.36%,284.86,0.66,0.39,1.04,2.14,30.83%,43.38%,0.799

Rothie,62,35.48%,291.74,0.56,0.31,1.23,2.23,25.36%,48.21%,0.797

Manteca,133,32.33%,311.80,0.45,0.45,1.54,1.97,22.90%,54.55%,0.795

Chronic,56,42.86%,360.75,0.48,0.25,1.95,2.16,22.31%,46.59%,0.792

Scruffy,71,39.44%,272.99,0.54,0.38,1.34,1.93,27.74%,45.14%,0.782

Rezears,56,28.57%,329.59,0.45,0.39,1.45,2.02,22.12%,63.51%,0.778

JTW,59,40.68%,293.61,0.34,0.66,1.32,2.03,16.67%,46.46%,0.774

PLASMA,63,46.03%,314.38,0.46,0.51,1.33,1.87,24.58%,48.03%,0.771

RevogaS,77,28.57%,327.79,0.40,0.36,1.77,1.87,21.53%,56.73%,0.767

Caz,78,33.33%,320.19,0.40,0.41,1.42,2.94,13.54%,53.39%,0.766

Viiexn,89,38.20%,305.92,0.40,0.51,1.31,1.85,21.82%,57.04%,0.765

Vive,129,48.06%,268.19,0.52,0.40,1.16,2.12,24.54%,47.97%,0.764

Taingerz,60,26.67%,283.43,0.43,0.47,1.23,1.88,23.01%,50.94%,0.763

DudeWithTheNose,53,41.51%,341.81,0.38,0.32,2.08,1.51,25.00%,46.84%,0.760

Pluto,140,50.71%,209.39,0.47,0.49,1.36,1.90,24.81%,49.81%,0.758

sun_on_run,59,28.81%,245.92,0.53,0.46,0.98,1.71,30.69%,47.54%,0.757

Electro,103,43.69%,313.20,0.31,0.49,1.76,1.59,19.51%,48.81%,0.749

forty,70,45.71%,307.27,0.39,0.37,1.31,2.07,18.62%,48.62%,0.733

NaoKi,96,44.79%,291.25,0.35,0.48,1.30,1.97,17.99%,48.78%,0.728

Protomz,63,30.16%,322.38,0.35,0.30,1.65,2.22,15.71%,54.67%,0.697

Cal,63,34.92%,326.52,0.35,0.27,1.62,2.40,14.57%,41.05%,0.694

Haru,65,47.69%,283.35,0.38,0.40,1.34,1.77,21.74%,50.50%,0.693

Continuum,85,31.76%,203.76,0.44,0.33,1.45,1.92,22.70%,45.14%,0.687

Kevin,70,45.71%,288.27,0.39,0.33,1.24,1.96,19.71%,45.87%,0.656

Redi,105,28.57%,285.16,0.37,0.36,1.27,2.00,18.57%,50.99%,0.654

